               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11969,            0.016809,            0.078094,           0.0098684,             0.13953,           0.0089224,           0.0012157,             0.11209,             0.01118,            0.089508,              0.0982,              0.0002,              0.0002
                   1,              0.1173,            0.017115,            0.077977,            0.017591,             0.30233,            0.019307,           0.0031223,             0.10863,            0.011306,            0.085901,            0.095475,          0.00047525,          0.00047525
                   2,             0.11386,            0.017485,            0.075751,            0.013627,             0.30233,            0.013746,           0.0037072,             0.10044,            0.011642,            0.079199,            0.092721,           0.0007208,           0.0007208
                   3,             0.10487,            0.022784,            0.069502,            0.022617,             0.65116,            0.082192,            0.015859,             0.09289,            0.011955,            0.070935,            0.089937,          0.00093665,          0.00093665
                   4,             0.10099,            0.022579,            0.063446,            0.024167,             0.86047,               0.164,             0.05068,            0.085343,            0.012239,            0.061243,            0.087123,           0.0011228,           0.0011228
                   5,            0.094871,            0.021426,            0.057609,            0.022185,             0.93023,             0.22231,            0.073332,            0.081716,            0.012305,            0.052563,            0.084279,           0.0012793,           0.0012793
                   6,            0.091756,            0.024048,            0.050427,             0.44763,             0.15117,             0.24185,            0.080401,            0.077179,            0.012668,            0.042786,            0.081406,            0.001406,            0.001406
                   7,             0.08458,            0.023192,            0.046591,             0.48922,              0.2093,             0.31722,            0.093849,            0.073547,            0.012974,            0.037247,            0.078503,           0.0015031,           0.0015031
                   8,            0.085345,            0.028013,            0.041668,             0.31756,             0.23821,             0.31785,            0.089896,            0.067708,            0.013338,            0.029111,             0.07557,           0.0015704,           0.0015704
                   9,            0.086359,            0.026023,            0.037285,             0.39323,             0.30233,             0.34356,            0.095133,            0.066149,             0.01333,              0.0257,            0.072608,           0.0016081,           0.0016081
                  10,            0.085373,            0.024609,             0.03369,             0.40366,             0.39535,             0.40142,              0.1288,            0.063537,             0.01341,            0.020382,            0.069616,            0.001616,            0.001616
                  11,            0.079227,             0.02404,            0.028071,             0.45928,             0.55814,             0.47964,             0.15057,            0.063392,             0.01317,            0.017849,            0.066594,           0.0015943,           0.0015943
                  12,             0.07286,            0.028383,            0.022724,              0.4261,             0.76744,             0.52282,             0.20368,            0.062003,              0.0127,            0.014565,            0.063543,           0.0015428,           0.0015428
                  13,            0.070431,            0.024291,            0.021677,             0.53117,             0.76744,             0.60797,              0.2239,            0.064947,            0.011727,            0.013103,            0.060462,           0.0014616,           0.0014616
                  14,            0.072329,            0.027633,            0.019204,              0.5836,              0.7907,             0.64592,             0.22718,            0.057032,            0.012074,            0.011339,            0.057351,           0.0013508,           0.0013508
                  15,            0.067964,            0.028684,            0.017779,             0.59123,             0.74419,             0.66549,             0.23569,            0.062438,            0.011268,            0.010715,             0.05421,           0.0012102,           0.0012102
                  16,            0.066306,            0.023436,            0.016193,             0.70021,             0.81478,             0.82195,             0.34622,            0.054093,            0.011886,           0.0098999,             0.05104,             0.00104,             0.00104
                  17,            0.064941,            0.024022,            0.016695,             0.46563,              0.7907,             0.56557,             0.16781,            0.056952,            0.011535,           0.0096397,             0.04784,          0.00084005,          0.00084005
                  18,            0.060908,            0.021907,            0.014836,             0.69502,             0.81395,             0.82256,             0.30891,            0.052093,            0.011442,           0.0094589,             0.04461,           0.0006104,           0.0006104
                  19,            0.061941,            0.023936,            0.014956,             0.76471,             0.83151,             0.83384,             0.32988,            0.051888,            0.011189,           0.0093967,            0.041351,          0.00035105,          0.00035105
